"scenario_no","join_key","truth_log","truth_exp","endpoint","metric"
"4","10a",0.103942551717361,1.10953671210601,"Binary","OR"
"4","10b",-0.0141731205120527,0.985926845327235,"Binary","OR"
"4","10c",0.0989239785044195,1.10398236997784,"Binary","OR"
"4","1a",-0.0488200943829139,0.952352447842307,"Binary","OR"
"4","1b",0.180684384357504,1.19803700039914,"Binary","OR"
"4","2a",0.0595969920988484,1.06140870424507,"Binary","OR"
"4","2b",0.0703248638971389,1.07285665704223,"Binary","OR"
"4","3a",-0.158629682706271,0.85331229676735,"Binary","OR"
"4","3b",0.121821717810438,1.12955270469868,"Binary","OR"
"4","4a",0.146891538975237,1.15822833358506,"Binary","OR"
"4","4b",0.053081656564823,1.05451574973748,"Binary","OR"
"4","4c",0.0162238921851311,1.01635621414785,"Binary","OR"
"4","5a",-0.320284515056969,0.725942466126706,"Binary","OR"
"4","5b",-0.0791313528079296,0.923918557177512,"Binary","OR"
"4","5c",0.149961388030449,1.16178938288595,"Binary","OR"
"4","5d",0.199773130937502,1.22112569109165,"Binary","OR"
"4","6a",0.0689586398906459,1.07139189534599,"Binary","OR"
"4","6b",0.0652411498719727,1.06741640067818,"Binary","OR"
"4","7a",0.113138057611567,1.11978651732961,"Binary","OR"
"4","7b",0.0346611823179389,1.03526888196691,"Binary","OR"
"4","8a",0.11156199852566,1.11802305763806,"Binary","OR"
"4","8b",-0.0881047606946258,0.915664946002741,"Binary","OR"
"4","8c",0.139949563365432,1.15021578438102,"Binary","OR"
"4","9a",0.123309907114755,1.13123494438756,"Binary","OR"
"4","9b",0.0516978166326739,1.05305747797398,"Binary","OR"
"5","10a",0.203934797628762,1.22621819851541,"Binary","OR"
"5","10b",-0.0154787906269452,0.98464039013563,"Binary","OR"
"5","10c",0.198580079681039,1.21966969426372,"Binary","OR"
"5","1a",-0.0821511515628587,0.921132717523499,"Binary","OR"
"5","1b",0.353920760304544,1.42464229378566,"Binary","OR"
"5","2a",0.126221576513282,1.13453352641745,"Binary","OR"
"5","2b",0.141559185097166,1.15206868754029,"Binary","OR"
"5","3a",-0.294349490587292,0.7450160698347,"Binary","OR"
"5","3b",0.241812100893905,1.27355487051094,"Binary","OR"
"5","4a",0.283814772521057,1.32818689125743,"Binary","OR"
"5","4b",0.104991633460499,1.11070131759038,"Binary","OR"
"5","4c",0.0506390407644239,1.05194311616222,"Binary","OR"
"5","5a",-0.607638700828767,0.544635399014226,"Binary","OR"
"5","5b",-0.142438540686437,0.867240852681897,"Binary","OR"
"5","5c",0.293842827654354,1.34157302891576,"Binary","OR"
"5","5d",0.390560637766634,1.47780907725806,"Binary","OR"
"5","6a",0.152486516652988,1.16472675757369,"Binary","OR"
"5","6b",0.126315551628709,1.13464014934643,"Binary","OR"
"5","7a",0.228237361787433,1.25638350747747,"Binary","OR"
"5","7b",0.0735935243894959,1.07636919873682,"Binary","OR"
"5","8a",0.225414245600231,1.25284159283088,"Binary","OR"
"5","8b",-0.159198059177623,0.852827431941085,"Binary","OR"
"5","8c",0.275956675817494,1.3177907705827,"Binary","OR"
"5","9a",0.243167351242244,1.27528202629271,"Binary","OR"
"5","9b",0.108514432822998,1.11462099554979,"Binary","OR"
"6","10a",-0.449939548344276,0.637666698464373,"Binary","OR"
"6","10b",-0.453878131952251,0.635160134255047,"Binary","OR"
"6","10c",-0.453375723986085,0.635479323941294,"Binary","OR"
"6","1a",-0.294074662506352,0.745220849309729,"Binary","OR"
"6","1b",-0.61850406873125,0.538749767708791,"Binary","OR"
"6","2a",-0.505689367988024,0.603089681371242,"Binary","OR"
"6","2b",-0.418031991010872,0.658341167088508,"Binary","OR"
"6","3a",-0.453271635520793,0.635545473451489,"Binary","OR"
"6","3b",-0.45273461229583,0.635886867791392,"Binary","OR"
"6","4a",-0.46035562356506,0.631059186080243,"Binary","OR"
"6","4b",-0.457495478764847,0.632866690359741,"Binary","OR"
"6","4c",-0.45124942315298,0.636831981726268,"Binary","OR"
"6","5a",-0.451631786168105,0.636588527276562,"Binary","OR"
"6","5b",-0.454004823727791,0.635079669787087,"Binary","OR"
"6","5c",-0.450108987933064,0.637558661634318,"Binary","OR"
"6","5d",-0.454916069236533,0.634501219885265,"Binary","OR"
"6","6a",-0.449554579375532,0.637912227613203,"Binary","OR"
"6","6b",-0.461408973668438,0.630394809793193,"Binary","OR"
"6","7a",-0.450059098917793,0.637590469601552,"Binary","OR"
"6","7b",-0.454826940832744,0.634557774486469,"Binary","OR"
"6","8a",-0.45152655306894,0.636655520985096,"Binary","OR"
"6","8b",-0.448754871368461,0.638422575166747,"Binary","OR"
"6","8c",-0.456059250759869,0.633776284259613,"Binary","OR"
"6","9a",-0.453524169944566,0.635384996605386,"Binary","OR"
"6","9b",-0.452666311328357,0.635930300962913,"Binary","OR"
"1","10a",-0.41903285605264,0.657682586059154,"Count","RR"
"1","10b",-0.415869515113433,0.659766354405857,"Count","RR"
"1","10c",-0.415067992943386,0.660295383752016,"Count","RR"
"1","1a",-0.418330968825722,0.658144367105827,"Count","RR"
"1","1b",-0.41388477655926,0.661077118457888,"Count","RR"
"1","2a",-0.4196898050575,0.657250664029637,"Count","RR"
"1","2b",-0.41372140825275,0.661185126329495,"Count","RR"
"1","3a",-0.419799346281944,0.657178671930256,"Count","RR"
"1","3b",-0.415184770079526,0.660218280850111,"Count","RR"
"1","4a",-0.413195492451963,0.661532945488456,"Count","RR"
"1","4b",-0.419260184279613,0.657533093235567,"Count","RR"
"1","4c",-0.415480581745316,0.660023009463869,"Count","RR"
"1","5a",-0.41821080175614,0.658223459137817,"Count","RR"
"1","5b",-0.421394797943027,0.656131011094838,"Count","RR"
"1","5c",-0.411966029707786,0.662346775783479,"Count","RR"
"1","5d",-0.416426210707918,0.659399167598092,"Count","RR"
"1","6a",-0.41521944212114,0.66019539013124,"Count","RR"
"1","6b",-0.416455890148176,0.65937959729031,"Count","RR"
"1","7a",-0.415274481131741,0.660159054630107,"Count","RR"
"1","7b",-0.416638526749947,0.65925918143789,"Count","RR"
"1","8a",-0.41670513510883,0.659215270728162,"Count","RR"
"1","8b",-0.415130559939069,0.660254072345971,"Count","RR"
"1","8c",-0.416464089320599,0.659374190945463,"Count","RR"
"1","9a",-0.412222203708202,0.662177121491701,"Count","RR"
"1","9b",-0.417077624607357,0.65896976568941,"Count","RR"
"2","10a",-0.368653373370231,0.691665118452258,"Count","RR"
"2","10b",-0.371561384971773,0.689656669974529,"Count","RR"
"2","10c",-0.370863596123594,0.690138072647084,"Count","RR"
"2","1a",-0.370440628744201,0.690430040281131,"Count","RR"
"2","1b",-0.370813384056133,0.690172726776566,"Count","RR"
"2","2a",-0.370467121288072,0.690411749275288,"Count","RR"
"2","2b",-0.370716581658814,0.690239540384889,"Count","RR"
"2","3a",-0.37080052371426,0.690181602690858,"Count","RR"
"2","3b",-0.370566947705737,0.690342831383615,"Count","RR"
"2","4a",0.00204079234692695,1.00204287618095,"Count","RR"
"2","4b",-0.637269435465577,0.528734197567417,"Count","RR"
"2","4c",-0.633999175468018,0.530466126248081,"Count","RR"
"2","5a",-0.365622582998591,0.693764590356187,"Count","RR"
"2","5b",-0.366672198162833,0.693036786545511,"Count","RR"
"2","5c",-0.373236800583845,0.688502175821506,"Count","RR"
"2","5d",-0.371998246344468,0.689355451415163,"Count","RR"
"2","6a",-0.373582024166231,0.688264529656779,"Count","RR"
"2","6b",-0.369570700247589,0.691030926374162,"Count","RR"
"2","7a",-0.374803656591859,0.687424236758969,"Count","RR"
"2","7b",-0.368056981698215,0.692077744799955,"Count","RR"
"2","8a",-0.375477493733086,0.686961180806132,"Count","RR"
"2","8b",-0.371418651369364,0.689755114180942,"Count","RR"
"2","8c",-0.368435448552089,0.691815865872617,"Count","RR"
"2","9a",-0.375076228632662,0.687236889665807,"Count","RR"
"2","9b",-0.369501208204252,0.691078949193827,"Count","RR"
"3","10a",-0.00745440995541071,0.99257330524889,"Count","RR"
"3","10b",-0.0076149537079078,0.992413966596592,"Count","RR"
"3","10c",-0.00351903509141856,0.996487149455895,"Count","RR"
"3","1a",-0.00641433638251098,0.993606191558612,"Count","RR"
"3","1b",-0.00466474986929853,0.995346113178675,"Count","RR"
"3","2a",-0.00408083450921354,0.995927480780979,"Count","RR"
"3","2b",-0.00651826101676291,0.993502936764015,"Count","RR"
"3","3a",-0.00271463219883967,0.997289049083285,"Count","RR"
"3","3b",-0.00625225198583592,0.993767252671098,"Count","RR"
"3","4a",-0.696127868249218,0.498511875074956,"Count","RR"
"3","4b",0.222880348992687,1.24967104039146,"Count","RR"
"3","4c",0.226088714686266,1.25368688078319,"Count","RR"
"3","5a",-0.0142786180331803,0.985822837975395,"Count","RR"
"3","5b",-0.00957567036718049,0.990470030376231,"Count","RR"
"3","5c",-0.00571212688037881,0.994304156297758,"Count","RR"
"3","5d",-0.000632062469370778,0.999368137240033,"Count","RR"
"3","6a",-0.00795720575915211,0.992074368998143,"Count","RR"
"3","6b",-0.00460021130071796,0.995410353465028,"Count","RR"
"3","7a",-0.003535576127351,0.996470666662472,"Count","RR"
"3","7b",-0.00679185079091795,0.993231161699058,"Count","RR"
"3","8a",-0.00989557689361884,0.990153223226311,"Count","RR"
"3","8b",-0.00456783999480845,0.995442576719637,"Count","RR"
"3","8c",-0.00447305351160812,0.995536935692619,"Count","RR"
"3","9a",-0.00616132570186434,0.99385761634267,"Count","RR"
"3","9b",-0.00539351803001023,0.994621000873975,"Count","RR"
"4","10a",0.156573800259677,1.16949706832163,"Count","RR"
"4","10b",0.0299062033796489,1.03035788533353,"Count","RR"
"4","10c",0.147632957822121,1.15908738431943,"Count","RR"
"4","1a",-0.0113921062533128,0.988672538077901,"Count","RR"
"4","1b",0.228372949785286,1.25655386955105,"Count","RR"
"4","2a",0.109775542556913,1.11602754165498,"Count","RR"
"4","2b",0.119334505202171,1.12674675790948,"Count","RR"
"4","3a",-0.12563462591751,0.881937024853344,"Count","RR"
"4","3b",0.167589465856931,1.18245107445147,"Count","RR"
"4","4a",0.187530528649236,1.20626707456327,"Count","RR"
"4","4b",0.0993182253019441,1.10441769729929,"Count","RR"
"4","4c",0.0510463129819717,1.05237163062297,"Count","RR"
